pair_key,프로필,좋아하는_게임,좋아하는_게임_장르,좋아하는_게임_설명,추천_게임,추천_게임_장르,추천_게임_설명,적합도,이유태그,메모
B0001,A15,Hardspace: Shipbreaker / Hacknet / The Case of the Golden Idol / 방 탈출 시뮬레이터 / shapez 2 - Factory,"시뮬레이션 / 인디, 시뮬레이션 / 어드벤처, 인디 / 어드벤처, 캐주얼, 인디, 시뮬레이션 / 캐주얼, 인디, 시뮬레이션, 전략","[Hardspace: Shipbreaker] Equipped with cutting-edge salvaging tech, carve & slice spaceships to recover valuable materials. Upgrade your gear to take on more lucrative contracts and pay your billion credit ‖ [Hacknet] Hacknet은 터미널 기반의 몰입형 해킹 시뮬레이터입니다. 최근에 사망한, 그러나 언론 보도와는 달리 사고로 사망하지 않은 해커의 지시에 따라 진실을 추척하십시오. ‖ [The Case of the Golden Idol] A new kind of detective game that allows you to think and investigate freely. Discover clues surrounding 12 strange and gruesome deaths and build your own theory. Pick your suspect ‖ [방 탈출 시뮬레이터] Escape Simulator는 단독 또는 온라인 협동 플레이가 가능한 1인칭 퍼즐 게임입니다. 점점 더 많아지는, 고도의 상호 작용이 가능한 방탈출 세트를 탐험하세요. 가구를 옮기고, 모든 것을 집어 들고 검사하고, 냄비를 부수고 자물쇠를 부수세요! 레벨 편집기를 통해 커뮤니티가 만든 방을 지원합니다. ‖ [shapez 2 - Factory] 공장 건설 게임에 빠져들어 보세요. 단 한 가지에 집중하세요. 대규모 우주 공장을 건설하는 것! 방대하게 펼쳐지는 다층 공장과 만족스러운 생산 라인을 무제한으로 설계하세요. 계속해서 어려워지는 자동화 목표를 적의 위협 없이 자신만의 속도로 달성하세요.",Juno: New Origins,"인디, 시뮬레이션","Bring to life anything you can imagine from rockets and airplanes to cars and more. Automate them with a visual programming language. Explore 3D planets and make your own. Share your creations online. Complete contracts, conquer milestones, and unlock technology in the newly added Career Mode.",,,
B0002,A05,Cities: Skylines / Factorio / Farming Simulator 22,"시뮬레이션, 전략 / 캐주얼, 인디, 시뮬레이션, 전략 / 시뮬레이션","[Cities: Skylines] Cities: Skylines is a modern take on the classic city simulation. The game introduces new game play elements to realize the thrill and hardships of creating and maintaining a real  ‖ [Factorio] Factorio는 무한한 2D 세상에서 복잡성이 증가하는 아이템을 생산하기 위해 자동화 공장을 만드는 게임입니다. - 당신의 상상력으로 공장을 설계, 독창적인 방법으로 간단한 요소를 결합하고 마지막엔 당신을 좋아하지 않는 생물들로 부터 공장을 지키세요. ‖ [Farming Simulator 22] 농장을 만들고 농사를 즐기세요! 작물을 수확하고, 동물을 돌보고, 생산을 관리하고, 계절에 따른 어려움을 이겨내세요.",Kubifaktorium,"인디, RPG, 시뮬레이션, 전략","Build, manage and grow a thriving colony in Kubifaktorium. The game features different biomes to explore, plenty of resources to exploit, complex machinery to build and interesting production chains to master.",,,
B0003,A03,The Talos Principle / Rust / Inscryption,"액션, 어드벤처, 인디 / 액션, 어드벤처, 인디, 대규모 멀티플레이어, RPG / 어드벤처, 인디, 전략","[The Talos Principle] 탈로스 법칙은 철학적 SF 소설의 전통을 따른 1인칭 퍼즐 게임입니다. 시리어스 샘을 개발한 크로팀에서 만들었으며, 톰 주버트(FTL, 더 스와퍼)와 조나스 카이라츠(바다는 모든 것을 요구한다.)가 스토리를 작성했습니다. ‖ [Rust] Rust에서의 목표는 오직 하나, 바로 살아남는 것입니다. 섬의 야생 동물, 다른 주민, 환경, 다른 생존자 모두가 여러분의 목숨을 노립니다. 하루 더 살아남을 수 있다면 수단과 방법을 가리지 마세요. ‖ [Inscryption] Inscryption은 검은 잉크로 그려진 카드를 기반으로 한 덱빌딩 로그라이크, 방탈출 퍼즐, 피가 흐르는 심리적 공포 등의 요소가 섞인 여정을 다룹니다. 카드에는 더 어두운 비밀이 새겨져 있습니다…",Feel The Snow,"액션, 어드벤처, 인디, 대규모 멀티플레이어, RPG, 시뮬레이션","Choose one of the characters and start your journey. The game has many interesting things in store: building, crafting, puzzles, bosses, mystery, laughs, quests etc.",,,
B0004,A14,Forza Horizon 5 / Hi-Fi RUSH / Street Fighter 6,"액션, 어드벤처, 레이싱, 시뮬레이션, 스포츠 / 액션 / 액션, 어드벤처","[Forza Horizon 5] 세계 최고의 자동차를 타고 생동감 넘치는 멕시코의 대자연을 탐험하며 재미있는 드라이빙 액션을 마음껏 즐겨보세요. ‖ [Hi-Fi RUSH] 아케이드 챌린지! 업데이트!로 추가되는 두 개의 신규 게임 모드에서 여러분의 능력을 시험하고, 새로운 보상을 획득해 보세요. 몇 가지 비밀도 숨어 있답니다! 락 스타 지망생 차이가 되어 비트를 타고, 세상 모든 게 음악에 싱크되는 세계에서 오합지졸 팀과 함께 사악한 거대 기업에 맞서 싸우세요. ‖ [Street Fighter 6] 시리즈 최신작 『Street Fighter 6』, 2023년 6월 2일 발매 결정! RE ENGINE으로 개발된 본 작품은 대형 모드 「World Tour」, 「Fighting Ground」, 「Battle Hub」로 구성되어 있다. 새로운 「스트리트 파이터」에는 지금까지의 시리즈에는 없었던 새로운 체험이 기다리고 있다.",Karting,"캐주얼, 인디, 레이싱, 시뮬레이션",카트에 올라 독특한 아케이드 게임에서 혼자 또는 친구들과 기록을 이길 수 있습니다!,,,
B0005,A16,Stardew Valley / Slime Rancher / Raft,"인디, RPG, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션 / 어드벤처, 인디, 시뮬레이션","[Stardew Valley] You've inherited your grandfather's old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off th ‖ [Slime Rancher] 슬라임 랜쳐는 젊고 용감한 랜쳐, 베아트릭스 르뷰가 지구에서 1,000광년 떨어진 '머나먼 평야'에서 슬라임들과 씨름하며 생계를 꾸려나가는 이야기입니다. 긍정적인 마인드와 강인한 의지로 베아트릭스는 진공팩을 사용하여 끊임없이 말랑말랑하게 굴러나오는 슬라임들을 피하며 이름을 알리고, 부자가 되려 합니다. ‖ [Raft] Raft™ throws you and your friends into an epic oceanic adventure! Alone or together, players battle to survive a perilous voyage across a vast sea! Gather debris, scavenge reefs an",Cozy Island,"어드벤처, 캐주얼, 인디","친구들과 신나게 놀고, 거대 채소 뽑고, 큰 잉어 낚으며 귀여운 동물도 만나요! 이상하면서도 재미있는 아이템을 해금하고, 편안한 섬 곳곳을 자유롭게 거닐어 봐요. 물론 원한다면, 모래사장에 누워 아무것도 안 하는 게 최고예요!",,,
B0006,A04,Into the Breach / Monster Train / Mini Metro,"인디, RPG, 시뮬레이션, 전략 / 전략 / 인디, 시뮬레이션, 전략","[Into the Breach] 미래의 강력한 메크를 조종하여 외계 세력을 물리치세요. 이 턴제 전략 게임에서는 세계를 구하려 시도할 때마다 무작위로 새롭게 생성되는 도전이 여러분 앞에 나타납니다. ‖ [Monster Train] Monster Train is a strategic roguelike deck building game with a twist. Set on a train to hell, you’ll use tactical decision making to defend multiple vertical battlegrounds. With  ‖ [Mini Metro] 미니 메트로는 성장하는 도시를 위해 지하철 노선을 설계하는 게임입니다. 역과 역 사이에 노선을 그려서 열차 운행을 시작하세요. 새로운 역이 열리면 노선을 수정해서 노선도를 효율적으로 유지하세요. 한정된 자원을 어느 곳에 사용할 것인지 결정하세요. 도시를 얼마나 오래 유지할 수 있을까요?",Fights in Tight Spaces,"액션, 전략","나만의 덱을 구성하고, 공간을 장악하고 주변환경을 활용하여 적을 무찌르세요. 계속해서 늘어나는 능력과 함께 새 카드를 훈련하고, 기존 카드를 업그레이드하고, 최고의 조합을 찾아 적을 쓰러뜨리고 세상의 범죄 조직을 무너뜨리세요.",,,
B0007,A12,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디","[A Short Hike] Hike, climb, and soar through the peaceful mountainside landscapes of Hawk Peak Provincial Park as you make your way to the summit. ‖ [ISLANDERS] ISLANDERS is a minimalist strategy game about building cities on colorful islands. ‖ [Gorogoa] Gorogoa(고로고아)는 Jason Roberts가 디자인하고 일러스트레이션을 손으로 그린 아름다운 차세대 퍼즐 게임입니다.",Wayout,"캐주얼, 인디","Relax, clear your mind and find the way out.",,,
B0008,A20,RimWorld / Oxygen Not Included / Unpacking 언패킹,"인디, 시뮬레이션, 전략 / 인디, 시뮬레이션 / 캐주얼, 인디, 시뮬레이션","[RimWorld] 지능형 AI 이야기꾼이 주도하는 공상과학 정착지 시뮬레이터입니다. 심리, 생태, 총격전과 근접전, 날씨, 기후, 외교, 사람 사이의 관계, 예술, 의학, 무역, 그 외 많은 것들을 시뮬레이션하여 이야기를 생성합니다. ‖ [Oxygen Not Included] Oxygen Not Included는 우주 콜로니 시뮬레이션 게임입니다. 외계의 우주 암석 깊은 곳에서 근면한 일꾼들은 생존하고 나아가 번영하기 위해 과학을 마스터하고, 낯선 새로운 생명체에 맞서며, 경이로운 우주 테크놀로지를 활용해야 합니다. ‖ [Unpacking 언패킹] Unpacking은 상자에서 짐을 꺼내 새집에 맞게 배치하는 친숙한 체험에 대한 명상적 퍼즐 게임입니다. 게임의 일부인 블록 맞추기 게임과 집 꾸미기를 하는 동안, 푸는 짐에 닮긴 삶의 실마리를 찾아가며 만족할 만한 생활 공간을 만들어 보세요.",Empyrion - Galactic Survival,"어드벤처, 인디, 시뮬레이션, 전략","Build and explore in a true space sandbox survival adventure. Construct mighty capital vessels, sprawling planetary settlements, and vast space stations in your galactic journey to discover the mysteries of Empyrion!",,,
B0009,A02,Iron Brigade / Ancient Planet Tower Defense / Creeper World IXE,"액션, 전략 / 캐주얼, 인디, 전략 / 액션, 캐주얼, 인디, 시뮬레이션, 전략","[Iron Brigade] Join The Mobile Trench Brigade and protect humanity from the evil Monovision menace! ‖ [Ancient Planet Tower Defense] 고대 행성 타워 디펜스는 정통 타워 디펜스 게임입니다. 고대 문명의 요새가 외계 침략자들로부터 침략당했습니다. 고대의 강력한 기술을 사용하여 적군의 공격을 물리치십시오! ‖ [Creeper World IXE] The unstoppable alien force known as The Creeper has returned, devouring thousands of worlds in its path, and yours is next. Battle against the Creeper fluid in a groundbreaking pi",REDCON,"인디, 시뮬레이션, 전략",Command your own fortress in FTL-like real-time battles! Crush the enemy fortress with unrelenting bombardment or seize it with carefully executed invasion.,,,
B0010,A17,Sid Meier’s Civilization® VI / XCOM® 2 / Stellaris,"전략 / 전략 / 시뮬레이션, 전략","[Sid Meier’s Civilization® VI] 문명 VI 에서는 새로운 방식으로 세상과 소통하고, 제국의 영토를 확장시키며, 문화를 발전시키고, 역사속 위대한 지도자들에 맞서 오래도록 지속될 나만의 문명을 건설해볼 수 있습니다. 클레오파트라를 비롯한 20명의 역사 속 지도자들 중 한명으로 플레이 해보세요. ‖ [XCOM® 2] XCOM 2는 수상 경력이 있는 전략 게임 XCOM: Enemy Unknown의 속편입니다. 인류가 외계인 침략군에게 항복한 지 20년, 이제 지구 상에는 새로운 세계 질서가 존재합니다. 수년간을 어둠 속에서 숨어 있었던 XCOM 부대는 반드시 일어나 외계인의 지배를 무너뜨릴 것입니다. ‖ [Stellaris] 항성간 여행을 통해 우주를 탐험하며 수많은 종족들도 만나보세요. 과학선을 보내 우주를 조사하고 탐험하면서 은하 제국을 건설하고, 건축선을 보내 새로 발견한 행성에 기지를 건설하세요. 소속 사회를 위한 탐험에 나서 매장된 보물과 은하계의 경이를 발견하고, 탐험가의 한계치와 진화 범위를 설정하세요. 동맹이 체결되고, 전쟁이 ",Age of Wonders: Planetfall,전략,멸망한 은하계 제국의 암흑기에서 깨어나서 인류를 위한 새로운 미래를 구축하세요.,,,
