profile_id,n,fit,mean_grade
seven_lowrev_indie,50,0.18,1.24
coh_survival_craft,50,0.2,1.26
two_cozy_puzzle,50,0.22,1.3
seven_horror_coop,50,0.26,1.34
coh_vehicle_sim,50,0.28,1.36
mix2_arcade_action,50,0.3,1.4
twenty_broad,50,0.3,1.38
lowrev_towerdefense,50,0.32,1.36
niche_soulslike_solo,50,0.32,1.28
coh_mmo,50,0.34,1.48
five_walking_sim,50,0.36,1.48
longtail_metroidvania,50,0.36,1.48
coh_fps,50,0.36,1.52
two_rhythm_arcade,50,0.36,1.46
six_action_adv,50,0.36,1.56
coh_indie_platformer,50,0.38,1.54
coh_grand_strategy,50,0.38,1.48
coh_classic_multi,50,0.38,1.5
coh_sports,50,0.4,1.52
niche_cozy_casual,50,0.4,1.44
niche_roguelite,50,0.4,1.5
coh_openworld_survival,50,0.42,1.54
coh_cozy,50,0.44,1.52
mix2_coop_horror,50,0.44,1.46
longtail_puzzle_platformer,50,0.44,1.54
mix2_crpg_sandbox,50,0.44,1.62
five_mixed_acclaimed,50,0.46,1.6
ten_jrpg,50,0.46,1.64
ten_mixed_library,50,0.46,1.62
mix2_colony_cozy,50,0.46,1.5
coh_jrpg,50,0.48,1.7
coh_arpg,50,0.48,1.8
five_coop_shooter,50,0.48,1.62
two_bigaction,50,0.48,1.66
ten_cozy,50,0.5,1.64
mix2_soulslike_narrative,50,0.52,1.78
mix2_party_narrative,50,0.52,1.66
lowrev_metroidvania,50,0.54,1.76
mix2_survival_farm,50,0.56,1.74
niche_sim,50,0.58,1.64
mix2_puzzle_survival,50,0.58,1.74
coh_strategy,50,0.58,1.88
lowrev_cozy_narrative,50,0.6,1.7
seven_automation,50,0.6,1.72
longtail_detective,50,0.62,1.82
longtail_deckbuilder,50,0.68,1.72
mix2_builder_sim,50,0.68,1.8
niche_tactics,50,0.7,1.8
mix2_modern_roguelite,50,0.72,1.9
lowrev_detective,50,0.76,1.94
lowrev_deckbuilder,50,0.78,1.86
niche_puzzle_solo,50,0.8,2.0
