pid,fit,n_seeds,coh,ptype,seed_rev_med,rec_med,under100,under1k
seven_lowrev_indie,0.18,7,0.5730240870089758,mixed,16469.0,0.0,0.76,0.94
coh_survival_craft,0.2,3,0.722442110379537,coherent,351155.0,153.0,0.4,0.76
two_cozy_puzzle,0.22,2,0.6020289063453674,coherent,8963.5,0.0,0.76,0.94
seven_horror_coop,0.26,7,0.6464350337073916,coherent,45897.0,159.0,0.36,0.78
coh_vehicle_sim,0.28,3,0.6022012829780579,coherent,377171.0,140.5,0.44,0.72
mix2_arcade_action,0.3,3,0.4797316292921702,mixed,48653.0,86.0,0.5,0.72
twenty_broad,0.3,20,0.5272881776094437,mixed,213258.5,743.0,0.3,0.54
lowrev_towerdefense,0.32,3,0.6021135648091634,coherent,865.0,0.0,0.68,0.9
niche_soulslike_solo,0.32,1,,single,19987.0,53.5,0.5,0.7
coh_mmo,0.34,3,0.6952100396156311,coherent,1902.0,0.0,0.86,0.96
five_walking_sim,0.36,5,0.5619382619857788,mixed,13581.0,0.0,0.64,0.82
longtail_metroidvania,0.36,3,0.6357038021087646,coherent,291.0,0.0,0.68,0.9
coh_fps,0.36,3,0.6353506445884705,coherent,1762199.0,0.0,0.62,0.72
two_rhythm_arcade,0.36,2,0.5832152366638184,coherent,23654.5,0.0,0.52,0.7
six_action_adv,0.36,6,0.5291803181171417,mixed,163806.0,326.5,0.42,0.6
coh_indie_platformer,0.38,3,0.5779269138971964,coherent,155159.0,0.0,0.52,0.84
coh_grand_strategy,0.38,3,0.6614157756169637,coherent,127842.0,132.0,0.48,0.84
coh_classic_multi,0.38,3,0.585137943426768,coherent,808644.0,0.0,0.58,0.74
coh_sports,0.4,3,0.6274189949035645,coherent,5306.0,0.0,0.56,0.82
niche_cozy_casual,0.4,3,0.5293796757857004,mixed,18960.0,0.0,0.88,0.94
niche_roguelite,0.4,10,0.5640196058485243,mixed,17590.5,190.5,0.4,0.68
coh_openworld_survival,0.42,3,0.6957077781359354,coherent,310617.0,332.5,0.34,0.64
coh_cozy,0.44,3,0.5292018453280131,mixed,321396.0,438.0,0.4,0.6
mix2_coop_horror,0.44,3,0.5989359418551127,coherent,410806.0,0.0,0.6,0.88
longtail_puzzle_platformer,0.44,3,0.5608339409033457,mixed,296.0,0.0,0.66,0.8
mix2_crpg_sandbox,0.44,3,0.635366419951121,coherent,228301.0,447.0,0.34,0.64
five_mixed_acclaimed,0.46,5,0.46530780494213103,mixed,87771.0,0.0,0.58,0.76
ten_jrpg,0.46,10,0.5383004705111186,mixed,2947.0,132.5,0.46,0.82
ten_mixed_library,0.46,10,0.4422324385907915,mixed,118638.5,448.0,0.4,0.64
mix2_colony_cozy,0.46,3,0.5678488612174988,mixed,134425.0,0.0,0.6,0.84
coh_jrpg,0.48,3,0.641578475634257,coherent,13558.0,0.0,0.58,0.84
coh_arpg,0.48,3,0.5321841637293497,mixed,277121.0,1721.0,0.22,0.42
five_coop_shooter,0.48,5,0.6249149560928344,coherent,107187.0,2841.5,0.28,0.4
two_bigaction,0.48,2,0.5927267670631409,coherent,112110.5,557.5,0.32,0.62
ten_cozy,0.5,10,0.5642618093225691,mixed,15947.0,0.0,0.62,0.76
mix2_soulslike_narrative,0.52,3,0.525785227616628,mixed,116621.0,1568.0,0.22,0.42
mix2_party_narrative,0.52,3,0.44394787152608234,mixed,61144.0,53.0,0.5,0.84
lowrev_metroidvania,0.54,3,0.5551761289437612,mixed,897.0,173.5,0.38,0.78
mix2_survival_farm,0.56,3,0.6099286874135336,coherent,75151.0,1801.0,0.24,0.4
niche_sim,0.58,5,0.4628168821334839,mixed,16403.0,0.0,0.52,0.82
mix2_puzzle_survival,0.58,3,0.414259801308314,mixed,133948.0,158.5,0.48,0.66
coh_strategy,0.58,3,0.5618795951207479,mixed,142271.0,353.5,0.38,0.62
lowrev_cozy_narrative,0.6,3,0.5152130524317423,mixed,896.0,0.0,0.6,0.86
seven_automation,0.6,7,0.6178173337663923,coherent,24181.0,170.5,0.48,0.72
longtail_detective,0.62,3,0.46907973289489746,mixed,296.0,0.0,0.56,0.94
longtail_deckbuilder,0.68,3,0.5888624588648478,coherent,288.0,0.0,0.6,0.9
mix2_builder_sim,0.68,3,0.5750559568405151,coherent,193791.0,388.0,0.36,0.58
niche_tactics,0.7,3,0.5197997689247131,mixed,18796.0,0.0,0.66,0.8
mix2_modern_roguelite,0.72,3,0.5714203914006551,mixed,250356.0,170.0,0.48,0.74
lowrev_detective,0.76,3,0.6283369660377502,coherent,1238.0,0.0,0.58,0.86
lowrev_deckbuilder,0.78,3,0.6382081111272176,coherent,868.0,0.0,0.54,0.86
niche_puzzle_solo,0.8,1,,single,5856.0,0.0,0.64,0.88
