profile_id,n,fit,mean_grade
coh_mmo,50,0.46,1.5
niche_soulslike_solo,50,0.48,1.58
mix2_arcade_action,50,0.54,1.68
coh_sports,50,0.56,1.64
twenty_broad,50,0.58,1.72
two_rhythm_arcade,50,0.6,1.82
lowrev_cozy_narrative,50,0.64,1.9
seven_horror_coop,50,0.64,1.98
six_action_adv,50,0.66,2.02
coh_fps,50,0.68,1.96
mix2_crpg_sandbox,50,0.7,2.04
mix2_coop_horror,50,0.7,1.88
coh_vehicle_sim,50,0.7,1.98
mix2_party_narrative,50,0.72,2.1
coh_grand_strategy,50,0.72,1.96
coh_survival_craft,50,0.74,2.0
two_cozy_puzzle,50,0.74,2.08
ten_jrpg,50,0.74,2.04
mix2_soulslike_narrative,50,0.76,2.16
lowrev_towerdefense,50,0.76,2.0
niche_sim,50,0.76,2.0
five_coop_shooter,50,0.76,2.0
longtail_detective,50,0.78,2.22
mix2_survival_farm,50,0.78,2.16
five_mixed_acclaimed,50,0.78,2.2
coh_jrpg,50,0.78,2.16
mix2_puzzle_survival,50,0.8,2.06
ten_mixed_library,50,0.8,2.04
lowrev_metroidvania,50,0.8,2.26
lowrev_deckbuilder,50,0.82,2.14
two_bigaction,50,0.82,2.26
niche_puzzle_solo,50,0.82,2.22
niche_tactics,50,0.84,2.16
coh_openworld_survival,50,0.84,2.18
coh_strategy,50,0.84,2.34
coh_arpg,50,0.84,2.42
coh_classic_multi,50,0.84,2.08
five_walking_sim,50,0.84,2.24
mix2_colony_cozy,50,0.86,2.08
longtail_deckbuilder,50,0.86,2.18
niche_roguelite,50,0.86,2.16
niche_cozy_casual,50,0.86,2.32
coh_indie_platformer,50,0.86,2.32
seven_automation,50,0.88,2.22
ten_cozy,50,0.88,2.3
longtail_puzzle_platformer,50,0.88,2.3
lowrev_detective,50,0.88,2.34
coh_cozy,50,0.88,2.28
longtail_metroidvania,50,0.9,2.42
seven_lowrev_indie,50,0.9,2.24
mix2_modern_roguelite,50,0.9,2.34
mix2_builder_sim,50,0.94,2.28
