profile_id,k50,k10,declared,derived,coh,n_seeds,pref
coh_fps,0.68,1.0,coherent,coherent,0.6353506445884705,3,coh
coh_survival_craft,0.74,1.0,coherent,coherent,0.722442110379537,3,coh
coh_openworld_survival,0.84,1.0,coherent,coherent,0.6957077781359354,3,coh
coh_strategy,0.84,0.9,coherent,mixed,0.5618795951207479,3,coh
coh_grand_strategy,0.72,0.8,coherent,coherent,0.6614157756169637,3,coh
coh_arpg,0.84,1.0,coherent,mixed,0.5321841637293497,3,coh
coh_indie_platformer,0.86,1.0,coherent,coherent,0.5779269138971964,3,coh
coh_cozy,0.88,0.9,coherent,mixed,0.5292018453280131,3,coh
coh_vehicle_sim,0.7,1.0,coherent,coherent,0.6022012829780579,3,coh
coh_classic_multi,0.84,0.8,coherent,coherent,0.585137943426768,3,coh
niche_puzzle_solo,0.82,1.0,single,single,,1,niche
niche_soulslike_solo,0.48,0.5,single,single,,1,niche
niche_tactics,0.84,1.0,coherent,mixed,0.5197997689247131,3,niche
niche_cozy_casual,0.86,0.9,coherent,mixed,0.5293796757857004,3,niche
niche_sim,0.76,0.7,mixed,mixed,0.4628168821334839,5,niche
niche_roguelite,0.86,0.8,coherent,mixed,0.5640196058485243,10,niche
lowrev_metroidvania,0.8,1.0,coherent,mixed,0.5551761289437612,3,lowrev
lowrev_deckbuilder,0.82,1.0,coherent,coherent,0.6382081111272176,3,lowrev
lowrev_towerdefense,0.76,1.0,coherent,coherent,0.6021135648091634,3,lowrev
lowrev_detective,0.88,1.0,coherent,coherent,0.6283369660377502,3,lowrev
lowrev_cozy_narrative,0.64,0.7,mixed,mixed,0.5152130524317423,3,lowrev
mix2_soulslike_narrative,0.76,1.0,mixed,mixed,0.525785227616628,3,mix2
mix2_coop_horror,0.7,0.8,mixed,coherent,0.5989359418551127,3,mix2
mix2_colony_cozy,0.86,0.9,mixed,mixed,0.5678488612174988,3,mix2
mix2_arcade_action,0.54,0.6,mixed,mixed,0.4797316292921702,3,mix2
mix2_modern_roguelite,0.9,1.0,mixed,mixed,0.5714203914006551,3,mix2
mix2_builder_sim,0.94,1.0,mixed,coherent,0.5750559568405151,3,mix2
mix2_crpg_sandbox,0.7,1.0,mixed,coherent,0.635366419951121,3,mix2
mix2_survival_farm,0.78,1.0,mixed,coherent,0.6099286874135336,3,mix2
mix2_party_narrative,0.72,1.0,mixed,mixed,0.44394787152608234,3,mix2
mix2_puzzle_survival,0.8,1.0,mixed,mixed,0.414259801308314,3,mix2
longtail_metroidvania,0.9,0.9,coherent,coherent,0.6357038021087646,3,longtail
longtail_deckbuilder,0.86,1.0,coherent,coherent,0.5888624588648478,3,longtail
longtail_detective,0.78,0.9,coherent,mixed,0.46907973289489746,3,longtail
longtail_puzzle_platformer,0.88,0.8,coherent,mixed,0.5608339409033457,3,longtail
two_bigaction,0.82,0.9,coherent,coherent,0.5927267670631409,2,two
two_rhythm_arcade,0.6,0.7,coherent,coherent,0.5832152366638184,2,two
two_cozy_puzzle,0.74,0.9,coherent,coherent,0.6020289063453674,2,two
coh_mmo,0.46,0.6,coherent,coherent,0.6952100396156311,3,coh
coh_sports,0.56,0.8,coherent,coherent,0.6274189949035645,3,coh
coh_jrpg,0.78,1.0,coherent,coherent,0.641578475634257,3,coh
six_action_adv,0.66,0.8,coherent,mixed,0.5291803181171417,6,six
twenty_broad,0.58,0.8,mixed,mixed,0.5272881776094437,20,twenty
five_coop_shooter,0.76,0.8,coherent,coherent,0.6249149560928344,5,five
five_walking_sim,0.84,1.0,coherent,mixed,0.5619382619857788,5,five
five_mixed_acclaimed,0.78,0.8,mixed,mixed,0.46530780494213103,5,five
seven_automation,0.88,0.8,coherent,coherent,0.6178173337663923,7,seven
seven_horror_coop,0.64,0.9,coherent,coherent,0.6464350337073916,7,seven
seven_lowrev_indie,0.9,1.0,mixed,mixed,0.5730240870089758,7,seven
ten_jrpg,0.74,0.8,coherent,mixed,0.5383004705111186,10,ten
ten_cozy,0.88,0.9,coherent,mixed,0.5642618093225691,10,ten
ten_mixed_library,0.8,1.0,mixed,mixed,0.4422324385907915,10,ten
