대상 123,095 · 이미 받음 0
  4,000/123,095  88s  (45.5/s)  실패 359
  8,000/123,095  82s  (48.5/s)  실패 1027
  12,000/123,095  82s  (48.6/s)  실패 1268
  16,000/123,095  92s  (43.6/s)  실패 66
  20,000/123,095  86s  (46.5/s)  실패 967
  24,000/123,095  88s  (45.3/s)  실패 209
  28,000/123,095  86s  (46.4/s)  실패 234
  32,000/123,095  85s  (46.9/s)  실패 425
  36,000/123,095  90s  (44.3/s)  실패 260
  40,000/123,095  96s  (41.6/s)  실패 0
  44,000/123,095  92s  (43.4/s)  실패 112
  48,000/123,095  92s  (43.7/s)  실패 0
  52,000/123,095  86s  (46.7/s)  실패 287
  56,000/123,095  85s  (47.2/s)  실패 135
  60,000/123,095  83s  (48.0/s)  실패 64
  64,000/123,095  85s  (47.2/s)  실패 0
  68,000/123,095  90s  (44.6/s)  실패 43
  72,000/123,095  86s  (46.6/s)  실패 286
  76,000/123,095  87s  (46.0/s)  실패 32
  80,000/123,095  83s  (47.9/s)  실패 590
  84,000/123,095  86s  (46.5/s)  실패 17
  88,000/123,095  82s  (48.6/s)  실패 683
  92,000/123,095  63s  (63.6/s)  실패 2150
  96,000/123,095  8s  (474.3/s)  실패 4000
  100,000/123,095  10s  (409.2/s)  실패 4000
  104,000/123,095  9s  (421.6/s)  실패 4000
  108,000/123,095  24s  (168.4/s)  실패 4000
  112,000/123,095  7s  (536.7/s)  실패 4000
  116,000/123,095  10s  (418.3/s)  실패 4000
  120,000/123,095  11s  (361.3/s)  실패 4000
  123,095/123,095  6s  (501.7/s)  실패 3095
완료
대상 40,303 · 이미 받음 82,792
  2,000/40,303  277s  (7.2/s)  실패 0
  4,000/40,303  278s  (7.2/s)  실패 0
  6,000/40,303  273s  (7.3/s)  실패 0
  8,000/40,303  275s  (7.3/s)  실패 0
  10,000/40,303  281s  (7.1/s)  실패 0
  12,000/40,303  280s  (7.1/s)  실패 0
  14,000/40,303  273s  (7.3/s)  실패 0
  16,000/40,303  274s  (7.3/s)  실패 0
  18,000/40,303  275s  (7.3/s)  실패 0
  20,000/40,303  288s  (6.9/s)  실패 0
  22,000/40,303  284s  (7.0/s)  실패 0
  24,000/40,303  280s  (7.1/s)  실패 0
  26,000/40,303  273s  (7.3/s)  실패 0
  28,000/40,303  273s  (7.3/s)  실패 0
  30,000/40,303  279s  (7.2/s)  실패 0
  32,000/40,303  277s  (7.2/s)  실패 0
  34,000/40,303  275s  (7.3/s)  실패 0
  36,000/40,303  274s  (7.3/s)  실패 0
  38,000/40,303  281s  (7.1/s)  실패 0
  40,000/40,303  289s  (6.9/s)  실패 0
  40,303/40,303  43s  (7.0/s)  실패 0
완료
