profile_id,n,fit,mean_grade
twenty_library,50,0.4,1.24
two_western,50,0.64,2.08
ten_scifi,50,0.68,1.9
five_acclaimed,50,0.68,2.0
coh_nolan,50,0.74,1.96
ten_lowvote_broad,50,0.76,2.24
lowvote_horror,50,0.76,2.22
coh_pixar,50,0.78,2.06
mix2_elevated_horror,50,0.8,2.1
niche_fantasy,50,0.8,2.06
two_ghibli,50,0.82,2.32
five_horror,50,0.82,2.18
five_lowvote_mix,50,0.82,1.88
ten_midvote_mix,50,0.84,2.28
seven_tv,50,0.84,2.04
seven_korean,50,0.84,2.16
longtail_western,50,0.84,2.44
lowvote_animation,50,0.84,2.18
two_classic,50,0.86,2.18
coh_marvel,50,0.86,2.1
two_kthriller,50,0.86,2.1
single_parasite,50,0.88,2.08
coh_crime_classic,50,0.88,2.3
coh_slasher,50,0.88,2.48
seven_longtail,50,0.9,2.56
niche_mystery,50,0.9,2.42
mix2_arthouse,50,0.9,2.32
coh_romcom,50,0.9,2.46
mix2_kthriller,50,0.9,2.32
longtail_music,50,0.92,2.64
single_interstellar,50,0.92,2.34
single_lowvote,50,0.92,2.16
lowvote_drama,50,0.92,2.36
two_doc,50,0.92,2.58
mix2_anime_film,50,0.94,2.36
lowvote_romance,50,0.94,2.4
five_animation,50,0.94,2.22
coh_ghibli,50,0.96,2.5
coh_prestige_tv,50,0.96,2.54
niche_tv_drama,50,0.96,2.44
five_tv_lowvote,50,0.98,2.6
coh_zombie,50,0.98,2.56
lowvote_comedy,50,0.98,2.68
lowvote_action,50,0.98,2.58
niche_doc,50,0.98,2.84
mix2_romance_time,50,0.98,2.46
longtail_family,50,0.98,2.74
longtail_history,50,1.0,2.8
longtail_thriller,50,1.0,2.7
mix2_kaction,50,1.0,2.68
longtail_war,50,1.0,2.86
coh_sageuk,50,1.0,2.72
